id,position,country,jurisdiction,deputy,list,start,end,before,after,enwiki
Q839139,President of Romania,Q218,Q218,,Q16933215,1974-03-28,,,,President of Romania
Q15304810,Prime Minister of Romania,Q218,Q218,,Q15710461,1862-01-22,,,,Prime Minister of Romania
Q81292982,Deputy Prime Minister of Romania,Q218,Q218,,,,,,,Deputy Prime Minister of Romania
Q21503604,Minister of Agriculture of Romania,,Q218,,Q95881937,,,,,
Q47519801,"Minister for Businesses, Trade and Entrepreneurship",Q218,Q218,,,,,,,
Q20884417,Minister of Communications and Information Society,,Q218,,,,,,,
Q21503769,Minister of Culture,,Q218,,,,,,,
Q21503762,"Minister for Development, Public Works and Administration",,Q218,,,,,,,
Q109743596,Minister of Economy,Q218,Q218,,,,,,,
Q21504183,"Minister of Economy, Entrepreneurship and Tourism",,Q218,,,,,,,
Q21389881,Minister of Education,Q218,Q218,,,,,,,
Q21513151,Minister of Energy,Q218,Q218,,,,,,,
Q109743597,Minister of Entrepreneurship and Tourism,Q218,Q218,,,,,,,
Q21504155,"Minister of Environment, Water and Forests",,Q218,,,,,,,
Q58622717,Minister for European affairs,Q218,Q218,,,,,,,
Q21504218,Minister of European Funds,,Q218,,,,,,,
Q109743599,"Minister of Family, Youth and Equal Opportunities",Q218,Q218,,,,,,,
Q21504216,Minister of Finance,Q218,Q218,,Q5364268,,,,,
Q21503673,Minister of Foreign Affairs of Romania,Q218,Q218,,Q1816755,,,,,
Q20885066,Minister of Health of Romania,,Q218,,,,,,,
Q109934786,Minister of Informations,,Q218,,,,,,,
Q21504201,Minister of Internal Affairs,Q218,Q218,,Q12732506,,,,,
Q109743580,Minister of Investments and European Projects,Q218,Q218,,,,,,,
Q21159939,Minister of Justice of Romania,,Q218,,Q65089102,,,,,
Q21504145,Minister of Labour and Social Protection,,Q218,,,,,,,
Q21504197,Minister of National Defence,Q218,Q218,,Q12732505,,,,,
Q17278764,Minister of Relations with the Parliament,Q218,Q218,,,,,,,
Q106640935,"Minister of Research, Innovation and Digitalization",,Q218,,,,,,,
Q29053668,Minister of Tourism,Q218,Q218,,,,,,,
Q29053673,Minister of Tourism and Regional Development of Romania,Q218,Q218,,,,,,,
Q21513080,Minister of Transport and Infrastructure,Q218,Q218,,,,,,,
Q47041742,minister of waterways and forestry,,Q218,,,,,,,
Q21503827,Minister of Youth and Sport,,Q218,,,,,,,
Q21503774,Minister-delegate for relations with Romanians everywhere,,Q218,,,,,,,
Q21504092,Minister-delegate for social dialog,Q218,Q218,,,,,,,
Q21504202,Minister-delegate for the relation with Parliament,Q218,Q218,,,,,,,
Q94440066,Spokesperson of the President of Romania,Q218,,,,,,,,
Q34745901,Prosecutor General of Romania,Q218,Q218,,Q12733811,,,,,
Q80711058,Chief Prosecutor of the National Anticorruption Directorate,Q218,Q218,,,,,,,
Q7241307,President of the Chamber of Deputies of Romania,Q218,Q218,,,1862,,,,President of the Chamber of Deputies of Romania
Q7241368,President of the Senate of Romania,Q218,Q218,,,1864,,,,President of the Senate of Romania
Q5589746,Governor of the National Bank of Romania,Q218,Q218,Q38082726,,1880-07-15,,,,Governor of the National Bank of Romania
Q5097072,Chief of the Romanian General Staff,,,,,1859-11-12,,,,Chief of the Romanian General Staff
Q6797678,Mayor of Bucharest,Q218,Q19660,,Q847944,1864-08-07,,,,Mayor of Bucharest
Q91483180,prefect of Bucharest,Q218,Q19660,,Q8878491,,,,,
