wanted,position,positionid,from,start,end
Q28035183,Minister of Investments and European Projects,Q109743580,Q28084569,2021-11-25,2022-04-07
Q28035503,Minister of Entrepreneurship and Tourism,Q109743597,Q28113961,2021-11-25,
Q28113715,Minister of Economy,Q109743596,Q109700122,2021-11-25,
Q21179419,"Minister of Economy, Entrepreneurship and Tourism",Q21504183,Q28113953,2018-01-29,2018-11-20
Q28482397,"Minister for Businesses, Trade and Entrepreneurship",Q47519801,Q45313382,2017-06-29,2018-01-29
Q7688102,Spokesperson of the President,Q94440066,Q94438710,2016,2019
Q99351057,prefect of Suceava county,Q91483168,Q99349881,2015-04-03,2017-03-08
Q554734,Minister of Transport and Infrastructure,Q21513080,Q1671900,2014-06-24,2015-07-16
Q12726356,member of the Chamber of Deputies of Romania,Q17556530,Q26272205,2014-06-11,2016-07-01
Q4687823,Minister of Energy,Q21513151,Q18544378,2014-03-03,2014-12-17
Q7311476,Minister of Transport and Infrastructure,Q21513080,Q3064927,2013-08-23,2014-02-26
Q1588788,"Minister of Economy, Entrepreneurship and Tourism",Q21504183,Q532674,2012-12-21,2013-10-07
Q3090580,Minister of Youth and Sport,Q21503827,Q18325107,2012-12-21,2014-03-05
Q349024,"Minister for Development, Public Works and Administration",Q21503762,Q6659788,2012-12-21,2015-05-15
Q554734,Minister-delegate for the relation with Parliament,Q21504202,Q12735436,2012-12-21,2014-03-05
Q291174,Minister of Foreign Affairs,Q21503673,Q58167,2012-08-06,2014-11-10
Q12730855,prefect of Brașov county,Q91483121,Q18541985,2012-05-12,2016
Q460969,Minister of Transport and Infrastructure,Q21513080,Q2834282,2012-02,2012-05
Q12730603,Minister of Labour and Social Protection,Q21504145,Q18534503,2011-06-03,2011-09-19
Q2016394,"Minister of Economy, Entrepreneurship and Tourism",Q21504183,Q3154084,2010-09-03,2012-02-09
Q5214099,Deputy Prime Minister,Q81292982,Q897108,2009-12-23,2012-04-27
Q347505,Minister of Tourism and Regional Development,Q29053673,Q463774,2008-12-22,2012-02-09
Q532674,Minister of Finance,Q21504216,Q5556390,2008-12-22,2009-12-22
Q12737671,Minister of Labour and Social Protection,Q21504145,Q12734974,2008-09-25,2008-12-22
Q12735873,member of the Chamber of Deputies of Romania,Q17556530,Q12728721,2007-12-19,2008-12-19
Q18547296,member of the Chamber of Deputies of Romania,Q17556530,Q18548437,2007-12-19,2008-12-18
Q4682727,member of the Chamber of Deputies of Romania,Q17556530,Q12735041,2007-12-19,2008-06-23
Q207473,Minister of Foreign Affairs,Q21503673,Q372760,2007-04-05,2008-04-15
Q7281731,Director of the Intelligence Service,Q66616178,Q5542064,2006-10-04,2015-01-27
Q12729132,Minister of Transport and Infrastructure,Q21513080,Q7281707,2006-06-13,2007-04-07
Q579547,Minister of Relations with the Parliament,Q17278764,Q12735436,2006-05-23,2008-12-22
Q5213736,"Minister of Economy, Entrepreneurship and Tourism",Q21504183,Q1671886,2004-12-29,2006-12-04
Q5278753,member of the Chamber of Deputies of Romania,Q17556530,Q12720001,2003-06-24,2004
Q7454474,ambassador to the United Kingdom,Q64682711,Q107377990,2001-06-13,2002
Q12721260,prefect of Olt county,Q91483159,Q12734987,2001,2004
Q12725504,Minister of Internal Affairs,Q21504201,Q1671900,2000-12-28,2004-03-11
Q12727592,Governor of the National Bank,Q5589746,Q255022,2000-12-28,
Q1291842,President of the Senate,Q7241368,Q126671,2000-12-20,2008-10-14
Q12725504,Minister of National Defence,Q21504197,Q7563494,2000-03-13,2000-12-28
Q7911419,Minister of Justice,Q21159939,Q7356775,2000,2004
